postal_code,date_valid_std,avg_temperature_air_2m_f
99211,2016-04-02,55.91
99213,2016-04-02,55.91
99212,2016-04-02,55.91
97341,2016-04-02,51.89
58204,2016-04-02,22.89
98625,2016-04-02,53.47
58532,2016-04-02,40.04
98336,2016-04-02,52.51
59432,2016-04-02,54.37
59273,2016-04-02,53.84
58233,2016-04-02,22.7
98388,2016-04-02,52.71
98592,2016-04-02,50.95
98288,2016-04-02,52.29
58849,2016-04-02,47.51
99015,2016-04-02,54.9
56722,2016-04-02,21.48
97134,2016-04-02,49.25
58278,2016-04-02,22.8
59435,2016-04-02,54.89
98929,2016-04-02,43.56
98579,2016-04-02,51.71
98546,2016-04-02,51.22
58261,2016-04-02,22.66
98672,2016-04-02,55.39
98315,2016-04-02,48.39
99252,2016-04-02,56.13
99202,2016-04-02,56.13
98058,2016-04-02,51.99
98386,2016-04-02,51.73
59538,2016-04-02,53.8
43130,2016-04-03,41.38
46012,2016-04-03,43.57
95407,2016-04-03,53.68
17247,2016-04-03,37.72
17326,2016-04-03,37.28
15226,2016-04-03,35.96
15270,2016-04-03,35.96
15216,2016-04-03,35.96
44405,2016-04-03,32.71
69363,2016-04-03,53.73
69361,2016-04-03,53.73
13678,2016-04-03,22.04
21790,2016-04-03,40.07
43050,2016-04-03,39.31
43032,2016-04-03,39.93
89403,2016-04-03,59.52
21717,2016-04-03,39.7
46074,2016-04-03,44.59
68332,2016-04-03,62.55
68379,2016-04-03,63.34
46112,2016-04-03,44.95
08349,2016-04-03,40.15
95688,2016-04-03,61.21
19953,2016-04-03,41.54
80023,2016-04-03,54.74
21617,2016-04-03,41.54
45435,2016-04-03,43.03
45433,2016-04-03,43.03
68961,2016-04-03,62.26
43085,2016-04-03,41.45
43235,2016-04-03,41.45
69020,2016-04-03,59.07
45315,2016-04-03,42.61
43083,2016-04-03,40.79
08202,2016-04-03,40.9
94511,2016-04-03,59.32
95632,2016-04-03,59.77
43236,2016-04-03,41.53
43219,2016-04-03,41.53
08316,2016-04-03,40.12
08329,2016-04-03,40.12
95224,2016-04-03,56.77
80214,2016-04-03,55.24
80204,2016-04-03,55.24
46165,2016-04-03,45.19
46147,2016-04-03,44.79
45418,2016-04-03,42.95
43155,2016-04-03,42.29
46186,2016-04-03,43.41
45401,2016-04-03,43.35
45400,2016-04-03,43.35
45405,2016-04-03,43.35
21022,2016-04-03,40.55
21094,2016-04-03,39.89
21093,2016-04-03,39.89
21139,2016-04-03,39.89
94581,2016-04-03,55.83
94559,2016-04-03,55.83
62655,2016-04-03,56.92
43782,2016-04-03,41.95
21775,2016-04-03,38.71
21798,2016-04-03,38.71
45424,2016-04-03,43.03
95609,2016-04-03,62.6
95608,2016-04-03,62.6
43739,2016-04-03,40.71
43721,2016-04-03,40.71
21738,2016-04-03,39.05
94702,2016-04-03,54.28
94710,2016-04-03,54.28
94703,2016-04-03,54.28
94707,2016-04-03,54.28
94708,2016-04-03,54.28
94712,2016-04-03,54.28
94706,2016-04-03,54.28
94701,2016-04-03,54.28
68977,2016-04-03,60.29
47386,2016-04-03,42.24
21090,2016-04-03,41.98
80727,2016-04-03,54.19
68337,2016-04-03,64.35
95757,2016-04-03,60.52
95758,2016-04-03,60.52
21705,2016-04-03,39.84
21709,2016-04-03,39.84
68976,2016-04-03,59.47
47322,2016-04-03,41.6
45322,2016-04-03,42.16
95746,2016-04-03,62.95
68420,2016-04-03,63.56
45404,2016-04-03,43.47
45431,2016-04-03,43.47
45437,2016-04-03,43.47
19708,2016-04-03,40.35
19709,2016-04-03,40.35
84645,2016-04-03,54.66
19706,2016-04-03,40.61
95258,2016-04-03,59.72
95241,2016-04-03,59.72
45415,2016-04-03,42.87
80602,2016-04-03,53.79
08332,2016-04-03,39.74
43822,2016-04-03,40.38
69022,2016-04-03,59.78
21919,2016-04-03,40.88
45350,2016-04-03,41.87
68344,2016-04-03,64.07
95250,2016-04-03,62.06
21117,2016-04-03,39.03
58225,2016-04-03,26.38
21108,2016-04-03,42.2
47383,2016-04-03,42.5
95468,2016-04-03,53.35
15258,2016-04-03,36.59
15257,2016-04-03,36.59
15289,2016-04-03,36.59
15262,2016-04-03,36.59
15263,2016-04-03,36.59
15281,2016-04-03,36.59
15282,2016-04-03,36.59
15295,2016-04-03,36.59
15212,2016-04-03,36.59
15272,2016-04-03,36.59
15255,2016-04-03,36.59
15222,2016-04-03,36.59
15253,2016-04-03,36.59
15252,2016-04-03,36.59
15286,2016-04-03,36.59
15265,2016-04-03,36.59
15254,2016-04-03,36.59
15259,2016-04-03,36.59
15233,2016-04-03,36.59
84035,2016-04-03,51.5
95668,2016-04-03,63.14
69155,2016-04-03,52.5
68409,2016-04-03,63.8
95677,2016-04-03,63.93
15301,2016-04-03,36.76
84664,2016-04-03,54.11
68502,2016-04-03,64.27
68522,2016-04-03,64.27
95466,2016-04-03,54.5
45381,2016-04-03,42.36
95659,2016-04-03,63.37
96142,2016-04-03,43.46
95449,2016-04-03,57.89
16002,2016-04-03,31.6
15632,2016-04-03,34.98
51566,2016-04-03,61.72
51591,2016-04-03,61.72
84061,2016-04-03,45.45
84055,2016-04-03,45.45
68641,2016-04-03,60.59
16105,2016-04-03,33.14
68048,2016-04-03,63.72
15629,2016-04-03,34.69
15673,2016-04-03,34.69
15690,2016-04-03,34.69
44650,2016-04-03,34.79
84013,2016-04-03,47.81
68826,2016-04-03,61.58
68517,2016-04-03,62.65
98801,2016-04-03,61.99
68661,2016-04-03,61.99
89821,2016-04-03,55.07
15084,2016-04-03,35.32
15014,2016-04-03,35.32
95765,2016-04-03,64.58
43066,2016-04-03,39.61
68423,2016-04-03,63.84
84088,2016-04-03,56.1
84096,2016-04-03,56.1
84095,2016-04-03,56.1
68848,2016-04-03,59.96
84628,2016-04-03,48.92
96125,2016-04-03,46.19
68002,2016-04-03,61.37
43037,2016-04-03,39.05
69165,2016-04-03,54.19
96063,2016-04-03,44.93
69348,2016-04-03,53.31
69161,2016-04-03,57.72
69350,2016-04-03,52.24
57547,2016-04-03,56.14
84075,2016-04-03,55.09
69301,2016-04-03,51.98
56033,2016-04-03,52.68
50424,2016-04-03,52.11
56023,2016-04-03,52.69
50628,2016-04-03,50.18
83341,2016-04-03,57.09
56090,2016-04-03,52.52
83630,2016-04-03,59.85
97738,2016-04-03,54.26
82642,2016-04-03,48.95
55386,2016-04-03,43.34
56264,2016-04-03,52.53
56125,2016-04-03,50.83
57791,2016-04-03,55.41
55318,2016-04-03,43.92
55380,2016-04-03,39.78
55046,2016-04-03,46.33
54017,2016-04-03,38.44
55352,2016-04-03,45.47
83656,2016-04-03,58.59
83632,2016-04-03,56.11
04967,2016-04-03,27.59
55387,2016-04-03,43.38
55339,2016-04-03,45.4
55583,2016-04-03,44.12
55368,2016-04-03,44.12
55383,2016-04-03,44.12
55554,2016-04-03,44.12
55569,2016-04-03,41.06
56279,2016-04-03,44.94
56340,2016-04-03,38.4
57651,2016-04-03,53.73
57638,2016-04-03,52.79
57449,2016-04-03,44.17
55129,2016-04-03,41.91
55125,2016-04-03,41.91
56218,2016-04-03,50.09
55190,2016-04-03,41.34
55112,2016-04-03,41.34
55191,2016-04-03,41.34
82411,2016-04-03,54.95
59731,2016-04-03,48.67
54723,2016-04-03,44.16
97857,2016-04-03,50.17
57552,2016-04-03,56.68
55416,2016-04-03,42.39
55426,2016-04-03,42.39
97904,2016-04-03,55.43
54028,2016-04-03,39.06
55369,2016-04-03,41
55311,2016-04-03,41
58632,2016-04-03,52.03
57468,2016-04-03,45.95
59351,2016-04-03,55.52
59354,2016-04-03,50.92
97859,2016-04-03,49.76
56369,2016-04-03,39.8
04920,2016-04-03,21.39
58032,2016-04-03,42.85
83651,2016-04-03,59.13
55074,2016-04-03,37.03
58495,2016-04-03,45.11
04932,2016-04-03,25.72
56455,2016-04-03,33.94
56441,2016-04-03,33.94
59721,2016-04-03,53.74
59013,2016-04-03,57.7
56342,2016-04-03,32.67
56475,2016-04-03,35.11
56466,2016-04-03,34.67
58049,2016-04-03,36.32
97029,2016-04-03,55.05
59038,2016-04-03,58.16
56328,2016-04-03,35.72
58466,2016-04-03,37.36
58650,2016-04-03,50.92
82840,2016-04-03,52.76
55016,2016-04-03,42.76
83555,2016-04-03,52.58
83542,2016-04-03,61.24
58770,2016-04-03,45.05
97828,2016-04-03,50.73
59039,2016-04-03,53.96
04430,2016-04-03,25.45
04768,2016-04-03,21.6
99012,2016-04-03,50.64
54840,2016-04-03,34.95
04978,2016-04-03,27.37
12903,2016-04-03,24.3
12901,2016-04-03,24.3
54830,2016-04-03,32.14
58444,2016-04-03,36.21
56458,2016-04-03,30.2
04760,2016-04-03,25.09
98950,2016-04-03,59.8
98828,2016-04-03,60.76
58230,2016-04-03,27.83
59873,2016-04-03,51.17
99159,2016-04-03,55.56
59419,2016-04-03,52.3
98836,2016-04-03,59.79
98944,2016-04-03,56.49
99137,2016-04-03,51.77
58271,2016-04-03,24.95
98850,2016-04-03,60.8
99101,2016-04-03,50.91
98831,2016-04-03,53.83
99115,2016-04-03,55.93
80726,2016-04-04,56.35
50001,2016-04-04,44.67
50643,2016-04-04,37.89
61013,2016-04-04,33.35
53523,2016-04-04,31.2
53960,2016-04-04,30.51
56134,2016-04-04,36.22
56359,2016-04-04,29.37
58472,2016-04-04,31.6
49948,2016-04-04,20.68
95445,2016-04-04,54.4
68112,2016-04-04,48.21
68152,2016-04-04,48.21
56592,2016-04-04,26.16
56556,2016-04-04,26.16
89441,2016-04-04,50.64
89440,2016-04-04,50.64
50263,2016-04-04,43.52
50276,2016-04-04,41.99
95661,2016-04-04,63.49
64489,2016-04-04,51.31
68934,2016-04-04,52.47
95335,2016-04-04,50.51
68452,2016-04-04,52.12
69023,2016-04-04,57.58
95220,2016-04-04,60.75
94949,2016-04-04,59.03
80758,2016-04-04,57.48
80743,2016-04-04,56.99
68436,2016-04-04,52.02
80601,2016-04-04,57.75
68976,2016-04-04,54.35
63559,2016-04-04,49.72
68447,2016-04-04,51.92
63536,2016-04-04,48.82
68375,2016-04-04,53.3
94904,2016-04-04,59.45
94976,2016-04-04,59.45
94925,2016-04-04,59.45
94914,2016-04-04,59.45
94977,2016-04-04,59.45
94939,2016-04-04,59.45
94973,2016-04-04,56.15
68954,2016-04-04,51.34
94523,2016-04-04,62.52
68978,2016-04-04,53.92
95690,2016-04-04,62.65
95680,2016-04-04,62.65
95624,2016-04-04,61.61
95439,2016-04-04,60.45
68939,2016-04-04,54.08
68315,2016-04-04,52.62
95403,2016-04-04,61.2
51466,2016-04-04,41.69
69170,2016-04-04,53.79
68428,2016-04-04,49.93
89502,2016-04-04,58.4
89570,2016-04-04,58.4
89520,2016-04-04,58.4
89519,2016-04-04,58.4
89515,2016-04-04,58.4
95497,2016-04-04,54.78
68122,2016-04-04,48.36
51650,2016-04-04,50.48
68001,2016-04-04,47.69
95436,2016-04-04,60.93
80729,2016-04-04,54.12
95456,2016-04-04,53.66
50241,2016-04-04,45.47
50240,2016-04-04,45.47
69024,2016-04-04,55.39
95940,2016-04-04,63.12
68863,2016-04-04,52.04
69121,2016-04-04,53.42
95981,2016-04-04,54.32
50234,2016-04-04,39.96
50258,2016-04-04,38.54
95920,2016-04-04,62.22
50138,2016-04-04,43.98
68626,2016-04-04,48.55
68405,2016-04-04,50.48
68813,2016-04-04,50.99
57020,2016-04-04,38.06
68637,2016-04-04,48.98
50230,2016-04-04,37.92
95470,2016-04-04,57.12
61014,2016-04-04,35.43
52771,2016-04-04,35.48
50220,2016-04-04,43.05
96103,2016-04-04,46.68
50035,2016-04-04,42.29
95942,2016-04-04,49.3
68827,2016-04-04,49.99
68439,2016-04-04,48.97
68526,2016-04-04,49.78
68509,2016-04-04,51.18
68503,2016-04-04,51.18
68504,2016-04-04,51.18
68583,2016-04-04,51.18
95991,2016-04-04,62.91
50109,2016-04-04,42.72
68066,2016-04-04,48.63
50125,2016-04-04,45.03
52078,2016-04-04,36
50624,2016-04-04,37.47
53525,2016-04-04,31.64
53802,2016-04-04,36.23
52219,2016-04-04,37.64
51025,2016-04-04,41.01
50107,2016-04-04,42.11
51005,2016-04-04,39.58
56083,2016-04-04,36.16
50671,2016-04-04,35.83
50466,2016-04-04,33.75
53095,2016-04-04,28.7
51022,2016-04-04,39.16
53110,2016-04-04,31.95
89423,2016-04-04,55.66
89721,2016-04-04,55.66
50451,2016-04-04,34.88
52225,2016-04-04,38.35
96022,2016-04-04,63.09
51046,2016-04-04,39.37
52315,2016-04-04,39.96
52326,2016-04-04,37.64
95559,2016-04-04,52.54
53511,2016-04-04,32.56
50599,2016-04-04,38.02
95573,2016-04-04,51.93
51033,2016-04-04,38.42
51023,2016-04-04,41.46
50467,2016-04-04,34.67
52046,2016-04-04,34.95
54971,2016-04-04,29.13
96015,2016-04-04,44.6
56116,2016-04-04,37.59
53965,2016-04-04,29.72
56024,2016-04-04,33.53
53202,2016-04-04,32.02
53267,2016-04-04,32.02
53290,2016-04-04,32.02
53274,2016-04-04,32.02
53288,2016-04-04,32.02
53203,2016-04-04,32.02
53278,2016-04-04,32.02
53268,2016-04-04,32.02
53259,2016-04-04,32.02
53206,2016-04-04,30
51012,2016-04-04,40.66
55570,2016-04-04,32.92
55592,2016-04-04,32.92
55574,2016-04-04,32.92
55576,2016-04-04,32.92
55578,2016-04-04,32.92
55579,2016-04-04,32.92
55593,2016-04-04,32.92
55571,2016-04-04,32.92
55393,2016-04-04,32.92
55572,2016-04-04,32.92
55577,2016-04-04,32.92
55117,2016-04-04,32.77
53572,2016-04-04,32.19
95556,2016-04-04,54.46
55974,2016-04-04,32.44
55936,2016-04-04,31.93
57323,2016-04-04,38.52
97632,2016-04-04,44.67
50519,2016-04-04,38.13
96097,2016-04-04,50.82
55041,2016-04-04,33.39
50477,2016-04-04,35.14
55367,2016-04-04,33.44
55445,2016-04-04,33.23
53065,2016-04-04,28.96
54936,2016-04-04,29.06
56046,2016-04-04,32.79
55906,2016-04-04,32.58
55054,2016-04-04,32.91
53948,2016-04-04,30.9
54170,2016-04-04,29.39
57564,2016-04-04,42.59
55021,2016-04-04,32.83
56255,2016-04-04,35.75
57622,2016-04-04,50.11
56257,2016-04-04,34.59
55486,2016-04-04,33.91
55401,2016-04-04,33.91
55454,2016-04-04,33.91
55455,2016-04-04,33.91
55460,2016-04-04,33.91
55404,2016-04-04,33.91
55415,2016-04-04,33.91
55487,2016-04-04,33.91
55459,2016-04-04,33.91
55472,2016-04-04,33.91
55402,2016-04-04,33.91
